[9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9],
[9,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,9],
[9,1,9,9,1,9,9,9,1,9,1,9,9,9,1,9,9,1,9],
[9,1,9,9,1,9,9,9,1,9,1,9,9,9,1,9,9,1,9],
[9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9],
[9,1,9,9,1,9,1,9,9,0,9,9,1,9,1,9,9,1,9],
[9,5,1,1,1,9,1,1,1,9,1,1,1,9,1,1,1,5,9],
[9,9,9,9,1,9,9,9,1,9,1,9,9,9,1,9,9,9,9],
[9,5,1,1,1,4,1,4,1,1,1,4,1,4,1,1,1,5,9],
[9,1,9,9,1,9,1,9,9,1,9,9,1,9,1,9,9,1,9],
[9,1,9,9,1,9,1,9,9,1,9,9,1,9,1,9,9,1,9],
[9,1,1,1,1,9,1,1,1,7,1,1,1,9,1,1,1,1,9],
[9,1,9,9,1,9,1,9,9,9,9,9,1,9,1,9,9,1,9],
[9,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,9],
[9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9]
